"","tytuly","rok","dlugosc","imieslow","sie","ze","iz"
"529","MlodzKaz","1681","44554","67","1020","439","23"
"530","NiewiesKom","1681","3894","7","85","18","15"
"531","TwarSWoj","1681","29692","224","692","129","4"
"532","CzerComp","1682","21994","327","81","16","0"
"533","KoniecSObl","1682","505","1","0","0","0"
"534","KoniecSTest","1682","5264","21","43","13","5"
"535","DiarWied","1683","3635","48","65","21","5"
"536","GalAlk","1683","16383","58","276","150","21"
"537","JanIIIMar","1683","1209","3","22","19","0"
"538","KsKomUl","1683","13480","81","117","1","0"
"539","SolGeom_I","1683","94414","633","613","160","8"
"540","NiewPrerBad","1684","1190","2","30","3","1"
"541","NowSow","1684","9330","25","219","36","12"
"542","SejmPanBad","1684","3596","6","75","16","8"
"543","SolGeom_II","1684","55465","495","350","89","11"
"544","BoczPioroBarII","1685","1138","9","17","2","0"
"545","GawPiesBar_II","1685","766","4","18","4","0"
"546","InterRzewKoniec","1685","439","0","3","0","1"
"547","StanTrans","1685","29601","38","892","314","76"
"548","UmRoszZlotGeb","1686","384","0","6","1","0"
"549","BujnDroga","1688","46595","226","730","339","87"
"550","DamKuligKrol","1688","86847","347","778","306","25"
"551","PasPam","1688","69170","462","1623","892","0"
"552","PotMorKuk_III","1688","88473","605","1772","783","0"
"553","BotLeczRel_I","1689","109663","174","2016","52","774"
"554","SekrWyj","1689","26314","267","429","103","40"
"555","JewPriv_II_Nies","1690","229","0","3","0","1"
"556","BoczHirBad","1691","766","5","9","2","1"
"557","InsGor_2","1691","5696","25","104","20","11"
"558","PotAbKuk_III","1691","1466","20","28","8","0"
"559","TylkRoz","1692","95357","167","2839","424","505"
"560","AkZbrojGeb","1693","3270","0","1","2","0"
"561","ChrosKon","1693","54190","292","1427","195","12"
"562","JemPam","1693","90726","1284","1797","534","5"
"563","BesKuligHer","1694","22745","47","237","118","30"
"564","ObLazGeb","1694","378","0","1","0","0"
"565","AndPiekBoh","1695","60103","479","1204","208","305"
"566","KwiatDzieje","1695","52506","281","982","491","72"
"567","OvChrosRoz","1695","21493","118","580","86","1"
"568","BoczOstBar_II","1696","331","2","6","1","0"
"569","Gutowski+nawiedzenie","1696","2783","7","51","14","0"
"570","InwSkarbWarGeb","1696","1588","0","4","0","0"
"571","InwWilan","1696","13816","3","40","0","0"
"572","MalczInst","1696","707","0","4","3","0"
"573","MalczInstGleich","1696","3429","18","78","23","0"
"574","NamKrolGeb","1696","231","0","2","0","0"
"575","PotFrasz5Kuk_III","1696","7811","61","145","67","0"
"576","PotPoczKuk_III","1696","23455","155","464","195","0"
"577","SarPam","1696","136680","700","2396","1454","47"
"578","SenBardzTrag","1696","15681","26","451","37","5"
"579","AwWar","1697","515","0","15","7","1"
"580","BratSwiatBar_II","1697","1869","2","28","5","0"
"581","CzerDwor","1697","2446","3","10","3","0"
"582","InwBronGeb","1697","819","0","0","0","0"
"583","KsJasUl_2","1697","1995","7","21","4","0"
"584","RelWjazdKrol","1697","3266","22","18","3","3"
"585","SchedMuzaBar_II","1697","1516","2","19","5","0"
"586","InnListAug","1698","389","2","6","5","0"
"587","KorczWiz","1698","22224","108","489","128","69"
"588","MorszSZaleBar_II","1698","2006","7","48","18","1"
"589","RelLow","1698","4709","12","54","43","1"
"590","KorczFrasz","1699","6400","19","104","33","8"
"591","KsKasUll_2","1699","12889","39","210","5","0"
"592","KsKrowUl_2","1699","2484","8","26","23","8"
"593","KsPtaszUl_2","1699","585","5","7","1","0"
"594","KuligDemBar_II","1699","3478","9","16","21","4"
"595","NiemBajkiBar_II","1699","996","5","22","28","0"
"596","PotNagKuk_I","1699","7047","48","120","47","0"
"597","WadDanBar_II","1699","760","0","8","2","1"
"598","CezKonBarII","1700","194","0","1","0","0"
"599","ClaudUstHist","1700","25833","127","568","93","3"
"600","DialBozOkon","1700","894","4","16","3","0"
"601","DialNarOkon","1700","853","0","17","7","0"
"602","DobKKronRzecz","1700","75","0","0","0","0"
"603","GorzWol","1700","23689","84","632","322","8"
"604","PasOkon","1700","1703","0","56","5","1"
